[ 2025-04-05 15:00:02,967 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-05 15:00:06,144 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-05 15:00:06,144 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-05 15:00:06,144 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-05 15:00:06,230 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-05 15:00:06,255 ] 25 root - INFO - Initiate the data Validation
[ 2025-04-05 15:00:06,398 ] 32 root - INFO - Required number of columns:2
[ 2025-04-05 15:00:06,398 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-05 15:00:06,398 ] 32 root - INFO - Required number of columns:2
[ 2025-04-05 15:00:06,400 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-05 15:00:06,731 ] 27 root - INFO - data Validation Completed
[ 2025-04-05 15:00:06,731 ] 30 root - INFO - data Transformation started
[ 2025-04-05 15:00:06,731 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-05 15:00:06,731 ] 65 root - INFO - Starting data transformation
[ 2025-04-05 15:00:06,763 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-05 15:00:06,764 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-05 15:00:06,809 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-05 15:00:06,823 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-05 15:00:06,823 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-05 15:00:06,903 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-05 15:00:06,904 ] 34 root - INFO - data Transformation completed
[ 2025-04-05 15:00:06,904 ] 35 root - INFO - Model Training started
