[ 2025-04-05 15:14:24,665 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-05 15:14:27,068 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-05 15:14:27,068 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-05 15:14:27,068 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-05 15:14:27,192 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-05 15:14:27,218 ] 25 root - INFO - Initiate the data Validation
[ 2025-04-05 15:14:27,396 ] 32 root - INFO - Required number of columns:2
[ 2025-04-05 15:14:27,396 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-05 15:14:27,397 ] 32 root - INFO - Required number of columns:2
[ 2025-04-05 15:14:27,398 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-05 15:14:27,694 ] 27 root - INFO - data Validation Completed
[ 2025-04-05 15:14:27,695 ] 30 root - INFO - data Transformation started
[ 2025-04-05 15:14:27,695 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-05 15:14:27,695 ] 65 root - INFO - Starting data transformation
[ 2025-04-05 15:14:27,727 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-05 15:14:27,727 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-05 15:14:27,760 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-05 15:14:27,770 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-05 15:14:27,770 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-05 15:14:27,779 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-05 15:14:27,782 ] 34 root - INFO - data Transformation completed
[ 2025-04-05 15:14:27,782 ] 35 root - INFO - Model Training started
[ 2025-04-05 15:18:11,990 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-05 15:18:11,992 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-05 15:18:11,992 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-05 15:18:12,164 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-05 15:18:12,165 ] 147 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_05_2025_15_14_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916034395548812, precision_score=0.9889023405972559, recall_score=0.9943193345506188), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9732142857142857, precision_score=0.9700647249190939, recall_score=0.9763843648208469))
[ 2025-04-05 15:18:12,169 ] 40 root - INFO - Model Training artifact created
